"accession_ID"	"Sample"	"dataset"	"Developmental_ssGSEA"	"Injury_ssGSEA"	"Classical_ssGSEA"	"Mesenchymal_ssGSEA"	"Proneural_ssGSEA"	"Developmental_pval_ssGSEA"	"Injury_pval_ssGSEA"	"Classical_pval_ssGSEA"	"Mesenchymal_pval_ssGSEA"	"Proneural_pval_ssGSEA"	"Wang_2017"	"Richards_2021"
"GSM3384809"	"GSC15"	"GSE119834"	365.272660985946	224.824903056603	219.847560686943	-486.912081829238	79.3620108194058	1	1	0.855144855144855	0.975024975024975	0.751248751248751	"PN"	"DEV"
"GSM3384810"	"GSC16"	"GSE119834"	-1551.38418586642	2256.30929248794	350.93142776148	1923.47906752305	-843.224462514641	1	0.000999000999000999	0.77022977022977	0.000999000999000999	0.997002997002997	"MES"	"INJ"
"GSM3384811"	"GSC17"	"GSE119834"	-1600.15193216437	2239.99165319131	-131.366958569767	2309.80923705208	-960.41433127131	1	0.000999000999000999	0.971028971028971	0.000999000999000999	0.998001998001998	"MES"	"INJ"
"GSM3384812"	"GSC18"	"GSE119834"	-1606.3130600043	2090.92739123125	-679.943090931425	1934.54492197589	-642.43963915151	1	0.000999000999000999	1	0.000999000999000999	0.986013986013986	"MES"	"INJ"
"GSM3384813"	"GSC19"	"GSE119834"	-1466.66222958272	2071.27954146189	-799.222416913864	3147.07894678521	-741.017255904795	1	0.000999000999000999	1	0.000999000999000999	0.992007992007992	"MES"	"INJ"
"GSM3384814"	"GSC2"	"GSE119834"	2512.48602138981	-1303.4771815084	3475.11316857999	-2771.38395237169	266.923586268941	0.000999000999000999	1	0.000999000999000999	1	0.589410589410589	"CL"	"DEV"
"GSM3384815"	"GSC20"	"GSE119834"	-551.622736761623	1838.85621432624	1310.977307701	2443.57659161787	-1397.82313936675	1	0.000999000999000999	0.0539460539460539	0.000999000999000999	1	"MES"	"INJ"
"GSM3384816"	"GSC21"	"GSE119834"	-564.417115966726	1957.50366358327	321.251412574562	3199.38873323612	-27.5829576169371	1	0.000999000999000999	0.792207792207792	0.000999000999000999	0.821178821178821	"MES"	"INJ"
"GSM3384817"	"GSC22"	"GSE119834"	-883.508420090159	1802.60882422698	-473.962490643666	2610.31210266467	-334.803398215349	1	0.000999000999000999	0.996003996003996	0.000999000999000999	0.953046953046953	"MES"	"INJ"
"GSM3384818"	"GSC23"	"GSE119834"	-641.930305521491	1387.05799771914	-821.167859503013	2188.05576174801	-751.969489464076	1	0.000999000999000999	1	0.000999000999000999	0.993006993006993	"MES"	"INJ"
"GSM3384819"	"GSC24"	"GSE119834"	105.799841650158	830.248339683895	512.97247071824	97.1318264034886	-213.204198062331	1	0.000999000999000999	0.658341658341658	0.737262737262737	0.923076923076923	"CL"	"INJ"
"GSM3384820"	"GSC25"	"GSE119834"	-163.608742180161	1458.47176190596	777.79167456945	1570.77787808382	-363.566909513245	1	0.000999000999000999	0.398601398601399	0.000999000999000999	0.955044955044955	"MES"	"INJ"
"GSM3384821"	"GSC26"	"GSE119834"	923.518042480045	182.933426473265	1364.15459960789	675.272918781941	160.362472959057	0.000999000999000999	1	0.03996003996004	0.233766233766234	0.689310689310689	"CL"	"DEV"
"GSM3384822"	"GSC27"	"GSE119834"	1251.87237304558	23.4416311711596	1728.469461345	-935.733907788666	-295.672488371953	0.000999000999000999	1	0.004995004995005	0.999000999000999	0.941058941058941	"CL"	"DEV"
"GSM3384823"	"GSC28"	"GSE119834"	1544.1178607058	-245.217661114965	2266.24507214947	-1452.67344402369	693.418853644226	0.000999000999000999	1	0.000999000999000999	1	0.237762237762238	"CL"	"DEV"
"GSM3384824"	"GSC29"	"GSE119834"	785.0675701306	604.239990753313	1201.52536528294	655.689150953257	561.935477761544	0.003996003996004	0.025974025974026	0.0979020979020979	0.255744255744256	0.321678321678322	"CL"	"DEV"
"GSM3384825"	"GSC3"	"GSE119834"	2383.85968742473	-1252.46609901957	1605.70642525761	-1348.55691975012	2113.43704082798	0.000999000999000999	1	0.00999000999000999	1	0.000999000999000999	"PN"	"DEV"
"GSM3384826"	"GSC30"	"GSE119834"	379.016539603494	966.357178516414	22.3559448588816	1231.43918514125	-78.6936280200175	0.998001998001998	0.000999000999000999	0.941058941058941	0.020979020979021	0.853146853146853	"MES"	"INJ"
"GSM3384827"	"GSC31"	"GSE119834"	-414.624795426692	1434.37199413881	-923.435858310988	1666.89054479927	465.269738075538	1	0.000999000999000999	1	0.000999000999000999	0.408591408591409	"MES"	"INJ"
"GSM3384828"	"GSC32"	"GSE119834"	1359.34005729848	-54.9026300603827	-1414.96563977982	336.268072527864	2630.85802341079	0.000999000999000999	1	1	0.53046953046953	0.000999000999000999	"PN"	"DEV"
"GSM3384829"	"GSC33"	"GSE119834"	52.7145954802948	1002.09120189288	-279.704224035012	960.715052241254	493.059355241334	1	0.000999000999000999	0.986013986013986	0.0719280719280719	0.37962037962038	"MES"	"INJ"
"GSM3384830"	"GSC34"	"GSE119834"	1115.42050026505	210.586726901426	2083.57553310767	303.208117607126	-1132.10307222903	0.000999000999000999	1	0.001998001998002	0.561438561438561	1	"CL"	"DEV"
"GSM3384831"	"GSC35"	"GSE119834"	-1598.02211545385	2565.37212250335	-486.670672717224	2973.60205775453	-1017.62540334354	1	0.000999000999000999	0.997002997002997	0.000999000999000999	0.999000999000999	"MES"	"INJ"
"GSM3384832"	"GSC36"	"GSE119834"	1572.40028191139	-633.823458913805	-595.685424066665	-1290.06187149929	2729.50287492664	0.000999000999000999	1	1	1	0.000999000999000999	"PN"	"DEV"
"GSM3384833"	"GSC37"	"GSE119834"	-582.538904464129	1380.06432214008	453.603847712984	1590.43683581157	-394.176096071249	1	0.000999000999000999	0.712287712287712	0.000999000999000999	0.958041958041958	"MES"	"INJ"
"GSM3384834"	"GSC38"	"GSE119834"	-7.28249313361322	804.980098928723	291.667963665543	1381.8118682674	-921.142782352967	1	0.000999000999000999	0.811188811188811	0.003996003996004	0.998001998001998	"MES"	"INJ"
"GSM3384835"	"GSC39"	"GSE119834"	2104.60862132624	-993.261807683316	2551.27653630299	-1534.69936055874	46.3703815469417	0.000999000999000999	1	0.000999000999000999	1	0.778221778221778	"CL"	"DEV"
"GSM3384836"	"GSC4"	"GSE119834"	2682.27724210401	-1215.30028018676	974.517997490541	-847.896845430716	3515.29185559664	0.000999000999000999	1	0.241758241758242	0.997002997002997	0.000999000999000999	"PN"	"DEV"
"GSM3384837"	"GSC40"	"GSE119834"	-773.344733027048	1280.0503319982	-1120.39766476067	1942.35689815282	350.676592550655	1	0.000999000999000999	1	0.000999000999000999	0.508491508491508	"MES"	"INJ"
"GSM3384838"	"GSC41"	"GSE119834"	-1783.10787079272	2454.23618149375	-503.044795865796	2637.39316308026	-632.361779650834	1	0.000999000999000999	0.998001998001998	0.000999000999000999	0.986013986013986	"MES"	"INJ"
"GSM3384839"	"GSC42"	"GSE119834"	1063.96156774792	-420.877814130662	-335.453968263117	-1274.44468599803	522.833974590764	0.000999000999000999	1	0.989010989010989	1	0.348651348651349	"PN"	"DEV"
"GSM3384840"	"GSC43"	"GSE119834"	1962.05425986465	-1205.56275898331	2654.75740943249	-1798.69853939576	571.288657543272	0.000999000999000999	1	0.000999000999000999	1	0.316683316683317	"CL"	"DEV"
"GSM3384841"	"GSC44"	"GSE119834"	-230.623959627069	477.688038786306	-786.172914105461	-284.093808996845	1431.72793526246	1	0.483516483516484	1	0.937062937062937	0.00899100899100899	"PN"	"INJ"
"GSM3384842"	"GSC5"	"GSE119834"	1607.94016439428	-713.162765953645	1949.3923022311	-1452.1321050603	337.213337269786	0.000999000999000999	1	0.001998001998002	1	0.528471528471528	"CL"	"DEV"
