"zmean_diff"	"TFs"	"p_value"	"p_value_adjusted"	"TFs1"
"MA0735.1_GLIS1"	4.88850566557646	"GLIS1"	0.000476458970014767	0.00797627609061758	"GLIS1"
"MA0736.1_GLIS2"	4.1281097446227	"GLIS2"	0.00734788922637526	0.0383990568588238	"GLIS2"
"MA0737.1_GLIS3"	4.44014179067808	"GLIS3"	0.00517299605079487	0.0324749196522123	"GLIS3"
"MA0738.1_HIC2"	2.61512766244497	"HIC2"	0.0162614603286157	0.0622896615977483	"HIC2"
"MA0740.1_KLF14"	4.94824511122309	"KLF14"	0.399136503958129	0.562023986881851	"KLF14"
"MA0741.1_KLF16"	6.88363171373816	"KLF16"	0.280562578720364	0.440540626791521	"KLF16"
"MA0743.1_SCRT1"	-2.46268292690412	"SCRT1"	0.0267233380818249	0.0901414090521257	"SCRT1"
"MA0744.1_SCRT2"	-1.01868860448291	"SCRT2"	0.292081316589072	0.453679570784401	"SCRT2"
"MA0745.1_SNAI2"	-0.463016200899254	"SNAI2"	0.952077596077649	0.969232147358327	"SNAI2"
"MA0746.1_SP3"	7.28105861662237	"SP3"	0.29481300248068	0.454796850243233	"SP3"
"MA0747.1_SP8"	5.66372397227299	"SP8"	0.433576808679658	0.601155575224557	"SP8"
"MA0748.1_YY2"	8.22976541783414	"YY2"	0.0220488123649891	0.0782839511885437	"YY2"
"MA0749.1_ZBED1"	-2.70317118269574	"ZBED1"	0.12831160244989	0.269752764220234	"ZBED1"
"MA0751.1_ZIC4"	5.4961229393291	"ZIC4"	0.00908899092243361	0.0432444620730525	"ZIC4"
"MA0088.2_ZNF143"	2.09657835843438	"ZNF143"	0.00653910007726159	0.0364897930237314	"ZNF143"
"MA0752.1_ZNF410"	1.76197311144667	"ZNF410"	0.088271287716257	0.2133616152286	"ZNF410"
"MA0753.1_ZNF740"	9.16695656149388	"ZNF740"	0.0157536340907511	0.0613848500777542	"ZNF740"
"MA0754.1_CUX1"	3.26762139589627	"CUX1"	0.0501535315394634	0.14653807034887	"CUX1"
"MA0755.1_CUX2"	1.00106703236366	"CUX2"	0.277964135524023	0.440540626791521	"CUX2"
"MA0756.1_ONECUT2"	4.26663962092729	"ONECUT2"	0.00562376567802711	0.0338925611529101	"ONECUT2"
"MA0757.1_ONECUT3"	2.55328170668341	"ONECUT3"	0.0803459239480141	0.197371508828817	"ONECUT3"
"MA0469.2_E2F3"	4.48453827675625	"E2F3"	0.0953763413798038	0.223295133139593	"E2F3"
"MA0758.1_E2F7"	3.68914756178731	"E2F7"	0.0233458677684886	0.0799419108436124	"E2F7"
"MA0473.2_ELF1"	-1.68953800727323	"ELF1"	0.462972480144724	0.623073227113643	"ELF1"
"MA0759.1_ELK3"	-4.79523330520708	"ELK3"	0.0728652893728801	0.185028712340123	"ELK3"
"MA0760.1_ERF"	-3.17917033147218	"ERF"	0.232358934858665	0.399339310099302	"ERF"
"MA0474.2_ERG"	-2.89800280162762	"ERG"	0.335225032050295	0.49679250651388	"ERG"
"MA0098.3_ETS1"	-3.24744584966574	"ETS1"	0.254711482960788	0.421720110982696	"ETS1"
"MA0761.1_ETV1"	-3.87559878225055	"ETV1"	0.229916929103808	0.396650579980616	"ETV1"
"MA0762.1_ETV2"	-2.05083737952388	"ETV2"	0.492809974840852	0.649540533726263	"ETV2"
"MA0763.1_ETV3"	-4.08615376686721	"ETV3"	0.224072884285222	0.389542091142001	"ETV3"
"MA0764.1_ETV4"	-3.11697772933467	"ETV4"	0.201061474227096	0.36207086195477	"ETV4"
"MA0765.1_ETV5"	-2.28412152392374	"ETV5"	0.33812603491934	0.499454143083469	"ETV5"
"MA0156.2_FEV"	-3.65098128468601	"FEV"	0.264227328531825	0.429607023368291	"FEV"
"MA0766.1_GATA5"	2.5054083422025	"GATA5"	0.00144490967980086	0.0141978081580432	"GATA5"
"MA0767.1_GCM2"	2.64619508651846	"GCM2"	0.0431801810861003	0.12858801035337	"GCM2"
"MA0768.1_LEF1"	5.84674936379728	"LEF1"	0.0147223125170119	0.0578650891972988	"LEF1"
"MA0770.1_HSF2"	-2.07137990852739	"HSF2"	0.321509559290032	0.481199737745346	"HSF2"
"MA0771.1_HSF4"	-0.932547081148964	"HSF4"	0.76979342373301	0.867697325504539	"HSF4"
"MA0772.1_IRF7"	0.76449812800801	"IRF7"	0.583630420231867	0.728731905924872	"IRF7"
"MA0052.3_MEF2A"	0.389714349929116	"MEF2A"	0.985079141755573	0.985079141755573	"MEF2A"
"MA0773.1_MEF2D"	0.330144699335382	"MEF2D"	0.889456194046323	0.937101585885845	"MEF2D"
"MA0498.2_MEIS1"	3.72568803615303	"MEIS1"	0.0590818222213797	0.162835266122339	"MEIS1"
"MA0774.1_MEIS2"	0.470246788170117	"MEIS2"	0.786361436675446	0.879790518260647	"MEIS2"
"MA0775.1_MEIS3"	0.470246788170117	"MEIS3"	0.786361436675446	0.879790518260647	"MEIS3"
"MA0776.1_MYBL1"	0.285646872688226	"MYBL1"	0.716701472868436	0.834920272516837	"MYBL1"
"MA0777.1_MYBL2"	0.591905419554331	"MYBL2"	0.547868386263761	0.693529676686615	"MYBL2"
"MA0105.4_NFKB1"	3.76019796917661	"NFKB1"	0.0623218645063071	0.169695679258137	"NFKB1"
"MA0778.1_NFKB2"	5.5671993429872	"NFKB2"	0.012663456960596	0.0539988919451828	"NFKB2"
